bps,scls,ref_cur,percent
Central Interior and Appalachian Floodplain Systems (6114710),B-Mid Closed,REFERENCE PERCENT,25
Central Interior and Appalachian Floodplain Systems (6114710),C-Mid Open,REFERENCE PERCENT,6
Central Interior and Appalachian Floodplain Systems (6114710),D-Late Open,REFERENCE PERCENT,13
Central Interior and Appalachian Floodplain Systems (6114710),E-Late Closed,REFERENCE PERCENT,48
Central Interior and Appalachian Floodplain Systems (6114710),Uncharacteristic Exotic,REFERENCE PERCENT,0
Central Interior and Appalachian Floodplain Systems (6114710),Uncharacteristic Native,REFERENCE PERCENT,0
Central Interior and Appalachian Floodplain Systems (6114710),A-Early All,CURRENT PERCENT,8
Central Interior and Appalachian Floodplain Systems (6114710),B-Mid Closed,CURRENT PERCENT,20
Central Interior and Appalachian Floodplain Systems (6114710),C-Mid Open,CURRENT PERCENT,46
Central Interior and Appalachian Floodplain Systems (6114710),D-Late Open,CURRENT PERCENT,6
Central Interior and Appalachian Floodplain Systems (6114710),E-Late Closed,CURRENT PERCENT,3
Central Interior and Appalachian Floodplain Systems (6114710),Uncharacteristic Exotic,CURRENT PERCENT,0
Central Interior and Appalachian Floodplain Systems (6114710),Uncharacteristic Native,CURRENT PERCENT,16
Central Interior and Appalachian Riparian Systems (6114720),A-Early All,REFERENCE PERCENT,16
Central Interior and Appalachian Riparian Systems (6114720),B-Mid Closed,REFERENCE PERCENT,22
Central Interior and Appalachian Riparian Systems (6114720),C-Mid Open,REFERENCE PERCENT,13
Central Interior and Appalachian Riparian Systems (6114720),D-Late Open,REFERENCE PERCENT,40
Central Interior and Appalachian Riparian Systems (6114720),E-Late Closed,REFERENCE PERCENT,9
Central Interior and Appalachian Riparian Systems (6114720),Uncharacteristic Exotic,REFERENCE PERCENT,0
Central Interior and Appalachian Riparian Systems (6114720),Uncharacteristic Native,REFERENCE PERCENT,0
Central Interior and Appalachian Riparian Systems (6114720),A-Early All,CURRENT PERCENT,4
Central Interior and Appalachian Riparian Systems (6114720),B-Mid Closed,CURRENT PERCENT,48
Central Interior and Appalachian Riparian Systems (6114720),C-Mid Open,CURRENT PERCENT,9
Central Interior and Appalachian Riparian Systems (6114720),D-Late Open,CURRENT PERCENT,2
Central Interior and Appalachian Riparian Systems (6114720),E-Late Closed,CURRENT PERCENT,26
Central Interior and Appalachian Riparian Systems (6114720),Uncharacteristic Exotic,CURRENT PERCENT,0
Central Interior and Appalachian Riparian Systems (6114720),Uncharacteristic Native,CURRENT PERCENT,11
Northeastern Interior Dry-Mesic Oak Forest  (6113030),A-Early All,REFERENCE PERCENT,4
Northeastern Interior Dry-Mesic Oak Forest  (6113030),B-Mid Open,REFERENCE PERCENT,22
Northeastern Interior Dry-Mesic Oak Forest  (6113030),C-Mid Open 2,REFERENCE PERCENT,49
Northeastern Interior Dry-Mesic Oak Forest  (6113030),D- Late Closed,REFERENCE PERCENT,18
Northeastern Interior Dry-Mesic Oak Forest  (6113030),E-Late Closed 2,REFERENCE PERCENT,7
Northeastern Interior Dry-Mesic Oak Forest  (6113030),Uncharacteristic Exotic,REFERENCE PERCENT,0
Northeastern Interior Dry-Mesic Oak Forest  (6113030),Uncharacteristic Native,REFERENCE PERCENT,0
Northeastern Interior Dry-Mesic Oak Forest  (6113030),A-Early All,CURRENT PERCENT,0
Northeastern Interior Dry-Mesic Oak Forest  (6113030),B-Mid Open,CURRENT PERCENT,0
Northeastern Interior Dry-Mesic Oak Forest  (6113030),C-Mid Open 2,CURRENT PERCENT,3
Northeastern Interior Dry-Mesic Oak Forest  (6113030),D- Late Closed,CURRENT PERCENT,45
Northeastern Interior Dry-Mesic Oak Forest  (6113030),E-Late Closed 2,CURRENT PERCENT,28
Northeastern Interior Dry-Mesic Oak Forest  (6113030),Uncharacteristic Exotic,CURRENT PERCENT,0
Northeastern Interior Dry-Mesic Oak Forest  (6113030),Uncharacteristic Native,CURRENT PERCENT,24
South-Central Interior Mesophytic Forest (5313210),A-Early All,REFERENCE PERCENT,3
South-Central Interior Mesophytic Forest (5313210),B-Mid Closed,REFERENCE PERCENT,11
South-Central Interior Mesophytic Forest (5313210),C-Late Closed,REFERENCE PERCENT,31
South-Central Interior Mesophytic Forest (5313210),D-Late Closed 2,REFERENCE PERCENT,55
South-Central Interior Mesophytic Forest (5313210),E,REFERENCE PERCENT,0
South-Central Interior Mesophytic Forest (5313210),Uncharacteristic Exotic,REFERENCE PERCENT,0
South-Central Interior Mesophytic Forest (5313210),Uncharacteristic Native,REFERENCE PERCENT,0
South-Central Interior Mesophytic Forest (5313210),A-Early All,CURRENT PERCENT,5
South-Central Interior Mesophytic Forest (5313210),B-Mid Closed,CURRENT PERCENT,57
South-Central Interior Mesophytic Forest (5313210),C-Late Closed,CURRENT PERCENT,16
South-Central Interior Mesophytic Forest (5313210),D-Late Closed 2,CURRENT PERCENT,21
South-Central Interior Mesophytic Forest (5313210),E,CURRENT PERCENT,0
South-Central Interior Mesophytic Forest (5313210),Uncharacteristic Exotic,CURRENT PERCENT,0
South-Central Interior Mesophytic Forest (5313210),Uncharacteristic Native,CURRENT PERCENT,1
Southern and Central Appalachian Cove Forest (5313180),A-Early All,REFERENCE PERCENT,4
Southern and Central Appalachian Cove Forest (5313180),B-Mid Closed,REFERENCE PERCENT,32
Southern and Central Appalachian Cove Forest (5313180),C-Late Open,REFERENCE PERCENT,10
Southern and Central Appalachian Cove Forest (5313180),D-Late Closed,REFERENCE PERCENT,54
Southern and Central Appalachian Cove Forest (5313180),E,REFERENCE PERCENT,0
Southern and Central Appalachian Cove Forest (5313180),Uncharacteristic Exotic,REFERENCE PERCENT,0
Southern and Central Appalachian Cove Forest (5313180),Uncharacteristic Native,REFERENCE PERCENT,0
Southern and Central Appalachian Cove Forest (5313180),A-Early All,CURRENT PERCENT,2
Southern and Central Appalachian Cove Forest (5313180),B-Mid Closed,CURRENT PERCENT,1
Southern and Central Appalachian Cove Forest (5313180),C-Late Open,CURRENT PERCENT,2
Southern and Central Appalachian Cove Forest (5313180),D-Late Closed,CURRENT PERCENT,93
Southern and Central Appalachian Cove Forest (5313180),E,CURRENT PERCENT,0
Southern and Central Appalachian Cove Forest (5313180),Uncharacteristic Exotic,CURRENT PERCENT,0
Southern and Central Appalachian Cove Forest (5313180),Uncharacteristic Native,CURRENT PERCENT,2
Southern Appalachian Oak Forest (5313150),A-Early All,REFERENCE PERCENT,5
Southern Appalachian Oak Forest (5313150),B-Mid Closed,REFERENCE PERCENT,25
Southern Appalachian Oak Forest (5313150),C-Mid Open,REFERENCE PERCENT,36
Southern Appalachian Oak Forest (5313150),D-Late Open,REFERENCE PERCENT,25
Southern Appalachian Oak Forest (5313150),E-Late Closed,REFERENCE PERCENT,9
Southern Appalachian Oak Forest (5313150),Uncharacteristic Exotic,REFERENCE PERCENT,0
Southern Appalachian Oak Forest (5313150),Uncharacteristic Native,REFERENCE PERCENT,0
Southern Appalachian Oak Forest (5313150),A-Early All,CURRENT PERCENT,5
Southern Appalachian Oak Forest (5313150),B-Mid Closed,CURRENT PERCENT,52
Southern Appalachian Oak Forest (5313150),C-Mid Open,CURRENT PERCENT,4
Southern Appalachian Oak Forest (5313150),D-Late Open,CURRENT PERCENT,16
Southern Appalachian Oak Forest (5313150),E-Late Closed,CURRENT PERCENT,24
Southern Appalachian Oak Forest (5313150),Uncharacteristic Exotic,CURRENT PERCENT,0
Southern Appalachian Oak Forest (5313150),Uncharacteristic Native,CURRENT PERCENT,0
